model,fold,ratio,seed,n_videos,macro_f1,total_frames,agg_f1,inv_f1,allo_f1,stand_f1,agg_fr,inv_fr,allo_fr,stand_fr
Swin-T,3,0.75,123,9,0.64785,163899.0,0.8042,0.6881,0.3927,0.7064,14589.0,36971.0,23036.0,6595.0
Swin-T,3,0.75,999,9,0.623775,161055.0,0.8202,0.6766,0.2781,0.7202,19818.0,31429.0,19049.0,6898.0
Swin-T,1,0.5,42,6,0.597375,104941.0,0.7401,0.6382,0.3099,0.7013,8590.0,23527.0,8292.0,3735.0
Swin-T,1,0.5,123,6,0.66365,109305.0,0.8172,0.6782,0.4063,0.7529,7276.0,24176.0,10254.0,4258.0
Swin-T,1,0.5,999,6,0.6266499999999999,102571.0,0.83,0.6102,0.3716,0.6948,17070.0,14521.0,6018.0,2746.0
Swin-T,2,0.5,42,6,0.3573,106903.0,0.324,0.5162,0.0395,0.5495,19278.0,18206.0,9435.0,4843.0
Swin-T,2,0.5,123,6,0.399675,103278.0,0.3567,0.5155,0.2104,0.5161,11303.0,21593.0,12128.0,5200.0
Swin-T,2,0.5,999,6,0.3721,105058.0,0.3489,0.5001,0.1429,0.4965,12369.0,22181.0,13428.0,4353.0
Swin-T,3,0.5,42,6,0.587225,108228.0,0.8035,0.6493,0.1547,0.7414,13541.0,21835.0,6874.0,5092.0
Swin-T,3,0.5,123,6,0.6389750000000001,109517.0,0.7704,0.6733,0.3586,0.7536,5242.0,26800.0,12969.0,5497.0
Swin-T,3,0.5,999,6,0.6083500000000001,107096.0,0.8098,0.6619,0.2414,0.7203,15621.0,18361.0,9668.0,3713.0
Swin-T,1,0.25,42,3,0.46919999999999995,50181.0,0.4049,0.5282,0.3318,0.6119,1500.0,14090.0,4241.0,2944.0
Swin-T,1,0.25,123,3,0.425425,55151.0,0.7526,0.5697,0.0388,0.3406,2507.0,11913.0,3214.0,1909.0
Swin-T,1,0.25,999,3,0.425425,50328.0,0.7526,0.5697,0.0388,0.3406,7779.0,8495.0,2698.0,845.0
Swin-T,2,0.25,42,3,0.326875,51995.0,0.2452,0.5057,0.0452,0.5114,11671.0,7993.0,4116.0,2373.0
Swin-T,2,0.25,123,3,0.3032,48912.0,0.3528,0.4676,0.0201,0.3723,8568.0,6706.0,2373.0,1612.0
Swin-T,2,0.25,999,3,0.355,51808.0,0.3563,0.478,0.1263,0.4594,9851.0,10487.0,6289.0,1593.0
Swin-T,3,0.25,42,3,0.5939500000000001,53781.0,0.7991,0.6427,0.2294,0.7046,7866.0,11286.0,5200.0,2950.0
Swin-T,3,0.25,123,3,0.5182249999999999,55151.0,0.6891,0.6055,0.1332,0.6451,2507.0,11913.0,3214.0,1909.0
Swin-T,3,0.25,999,3,0.414825,53846.0,0.7754,0.4425,0.0284,0.413,13103.0,6667.0,2529.0,953.0
